Facility_Name,Hatchery_Program_Name,Hatchery_Program_Type,Species,Run,Life_Stage,Goal,Production_Goal,PNI Year,Integrated_PNI _Rate,Integrated PNI Rate Description,Integrated PNI Goal,Integrated PNI Goal Description,Segrated PHOS Rate ,Segrated PHOS Rate Description,Segrated PHOS Goal ,Segrated PHOS Goal Description,Juvenile Produced,Juvenile To Smolt Survival Percent,Juvenile To Smolt Survival Description,Actual_Adult_Hatchery_Produced,Actual Adult Hatchery Produced Description,AdultReturnsTotal,Adult Returns To Hatchery Broodstock Description,Adult Returns To Hatchery Wild Broodstock Percent,Adult Returns To Hatchery Wild Broodstock Description,Adult Returns To Hatchery Excess,Adult Returns To Hatchery Excess Description,ReturningHatcheryPercent,Adult Where Returning Fish Go Hatchery Description, ReturningHarvestedPercent,Adult Where Returning Fish Go Harvested Description,Adult Where Returning Fish Go Spawning Grounds Percent,Adult Where Returning Fish Go Spawning Grounds Description,Non WA Caught Adult,Non WA Caught Adult Description,Sport_Caught_Adult,Sport Caught Adult Description,Net_Caught_Adult,Net Caught Adult Description,Troll_Caught_Adult,Troll Caught Adult Description,Cost Per Adult,Cost Per Adult Description,County,WRIA,Salmon Recovery Region,Lead Entity,Last Updated
Satsop Springs Ponds,Satsop Springs Fall Chinook,INTEGRATED,Chinook,Fall,Sub-yearling,Conservation,300000,2009,0.64,,0.5,>0.50,0.12,,0.3,<0.30,338936,0.04,,120,,102,,,63.40%,15,,43.5,,56.5,,,unavailable,47,,2,,17,,1,,,"In progressJLARC data to be released 2015,",Mason,LOWER CHEHALIS,,,7/22/2015 16:38
Washougal Hatchery,Klickitat outplant from Washougal (Type N),SEGREGATED,Coho,Type-N,Yearling,Harvest,1000000,2009,0,NA,0,NA,0.93,,0,Current,2470087,,unk,,unk,,Broodstock from Washougal program,,None,,,,unavailable,,unavailable,,unavailable,4806,,3031,,48,,293,,,"In progressJLARC data to be released 2015,",Skamania,SALMON-WASHOUGAL,Lower Columbia River,Lower Columbia Fish Recovery Board,7/22/2015 16:38
Humptulips Hatchery,Humptulips River Late Coho,INTEGRATED,Coho,Late,Yearling,Harvest,100000,2009,0.33,,0.5,>0.50,0.36,,0.3,<0.30,220510,,unavailable,,unavailable,2426,,,4.87%,2185,,,unavailable,,unavailable,,unavailable,,unavailable,,unavailable,,unavailable,,unavailable,,"In progressJLARC data to be released 2015,",Grays Harbor,LOWER CHEHALIS,Washington Coastal,Grays Harbor County Lead Entity,7/22/2015 16:38
Lake Aberdeen Hatchery,Lake Aberdeen Coho,INTEGRATED,Coho,Summer,Yearling,Harvest,30000,2009,0.83,,0.5,>0.50,0.1,,0.3,<0.30,30000,3.73,,1120,,1050,,,13.94%,994,,86,,14,,,unavailable,33,,45,,65,,14,,,"In progressJLARC data to be released 2015,",Grays Harbor,LOWER CHEHALIS,Washington Coastal,Grays Harbor County Lead Entity,7/22/2015 16:38
Skookumchuck Hatchery,Skookumchuck River Coho,INTEGRATED,Coho,,Yearling,Harvest,50000,2009,0.33,,0.5,>0.50,0.32,,0.3,<0.30,51734,3.69,,1909,,1370,,,4.99%,1040,,68.1,,31.9,,,unavailable,35,,312,,229,,32,,,"In progressJLARC data to be released 2015,",Thurston,UPPER CHEHALIS,Washington Coastal,Grays Harbor County Lead Entity,5/20/2016 16:52
Skookumchuck Hatchery,Skookumchuck River Late Coho,INTEGRATED,Coho,Late,Yearling,Harvest,50000,2009,0.64,,0.5,>0.50,0.08,,0.3,<0.30,51070,3.56,,1820,,914,,,5.39%,742,,79.7,,20.3,,,unavailable,101,,178,,77,,14,,,"In progressJLARC data to be released 2015,",Thurston,UPPER CHEHALIS,Washington Coastal,Grays Harbor County Lead Entity,5/20/2016 16:52
Mayr Brothers Ponds,Wishkah Coho (Mayr Brothers),INTEGRATED,Coho,,Yearling,Harvest,300000,2009,0.09,,0.5,>0.50,0.42,,0.3,<0.30,151000,,unavailable,,unavailable,3086,,,2.99%,2689,,,unavailable,,unavailable,,unavailable,,unavailable,,unavailable,,unavailable,,unavailable,,"In progressJLARC data to be released 2015,",Grays Harbor,LOWER CHEHALIS,Washington Coastal,Grays Harbor County Lead Entity,7/22/2015 16:38
Deep River Net Pens,Deep R Net Pens Coho Type-S,SEGREGATED,Coho,Type-S,Yearling,Harvest,800000,2009,0,NA,0,NA,0,unavailable,0.05,<0.05,303807,,unk,,unk,,Broodstock from Lewis and Washougal Programs,,None,,unavailable,,unk,,unk,,unavailable,5598,,313,,3,,23,,,"In progressJLARC data to be released 2015,",Wahkiakum,GRAYS-ELOKOMAN,Lower Columbia River,Lower Columbia Fish Recovery Board,7/22/2015 16:38
Fallert Creek Hatchery,Fallert Creek Coho Type-S,INTEGRATED,Coho,Type-S,Yearling,Conservation,100000,2009,0,unavailable,0.5,>0.50,0,unavailable,0.3,<0.30,299097,1.3,,3890,,237,,,None,2229,,63.4,,36.6,,,unavailable,706,,708,,0,,10,,,"In progressJLARC data to be released 2015,",Cowlitz,LEWIS,Lower Columbia River,Lower Columbia Fish Recovery Board,7/22/2015 16:38
Grays River Hatchery,Grays River Coho Type-N,INTEGRATED,Coho,Type-N,Yearling,Conservation,150000,2009,0.51,,0.67,>0.67,0.25,,0.3,<0.30,491662,0.69,,3416,,222,,,26%,863,,31.7,,68.3,,,unavailable,1488,,754,,30,,59,,,"In progressJLARC data to be released 2015,",Pacific,GRAYS-ELOKOMAN,Lower Columbia River,Lower Columbia Fish Recovery Board,7/22/2015 16:38
Kalama Falls Hatchery,Kalama Falls Coho Type-N,INTEGRATED,Coho,Type-N,Yearling,Harvest,600000,2009,0.15,,0.5,>0.50,0.6,,0.3,<0.30,349645,2.17,,7600,,227,,,11%,3445,,48.3,,51.7,,,unavailable,2194,,1590,,52,,92,,,"In progressJLARC data to be released 2015,",Cowlitz,LEWIS,Lower Columbia River,Lower Columbia Fish Recovery Board,5/20/2016 16:50
Lewis River Hatchery,Lewis River Coho Type-N,SEGREGATED,Coho,Type-N,Yearling,Harvest,850000,2009,0,NA,0,NA,0.66,,0.1,<0.10,842514,3.63,,30583,,1371,,,None,13575,,48.9,,51.1,,,unavailable,7574,,7492,,74,,497,,,"In progressJLARC data to be released 2015,",Cowlitz,LEWIS,Lower Columbia River,Lower Columbia Fish Recovery Board,7/22/2015 16:38
Lewis River Hatchery,Lewis River Coho Type-S,SEGREGATED,Coho,Type-S,Yearling,Harvest,950000,2009,0,NA,0,NA,0.66,,0.1,<0.10,894834,0.88,,7834,,795,,,None,238,,13.2,,86.8,,,unavailable,2873,,3860,,0,,68,,,"In progressJLARC data to be released 2015,",Cowlitz,LEWIS,Lower Columbia River,Lower Columbia Fish Recovery Board,7/22/2015 16:38
Cowlitz Salmon Hatchery,Lower Cowlitz River Hatchery Coho,SEGREGATED,Coho,Type-N,Yearling,Harvest,1100000,2009,0,NA,0,NA,0.59,,0.05,<0.05,3162780,2.86,,90383,,2096,,,None,60410,,69.2,,30.8,,,unavailable,12830,,14464,,134,,449,,,"In progressJLARC data to be released 2015,",Lewis,COWLITZ,Lower Columbia River,Lower Columbia Fish Recovery Board,5/20/2016 16:48
North Toutle Hatchery,NF Toutle Coho Type-S,INTEGRATED,Coho,Type-S,Yearling,Conservation,150000,2009,0,unavailable,0.67,>0.67,0,unavailable,0.3,<0.30,724554,3.29,,23806,,313,,,42%,18085,,77.3,,22.7,,,unavailable,2901,,2368,,0,,138,,,"In progressJLARC data to be released 2015,",Cowlitz,COWLITZ,Lower Columbia River,Lower Columbia Fish Recovery Board,5/20/2016 16:51
Cowlitz Salmon Hatchery,Upper Cowlitz Coho wild-Int.,INTEGRATED,Coho,Type-N,Yearling,Harvest,1000000,2009,0.63,,0.67,>0.67,0.59,,0.3,<0.30,,,unk,,unk,0,,,100%,,unavailable,,unavailable,,unavailable,,unavailable,,unavailable,,unavailable,,unavailable,,unavailable,,"In progressJLARC data to be released 2015,",Lewis,COWLITZ,Lower Columbia River,Lower Columbia Fish Recovery Board,5/20/2016 16:48
Bingham Creek Hatchery,Bingham Creek Fall Chinook,INTEGRATED,Chinook,Fall,Sub-yearling,Conservation,200000,2009,0.64,,0.5,>0.50,0.12,,0.3,<0.30,330000,0.4,,1318,,15,,,13.30%,8,,1.6,,74.2,,24.3,,609,,124,,228,,16,,,"In progressJLARC data to be released 2015,",Mason,LOWER CHEHALIS,Washington Coastal,Grays Harbor County Lead Entity,7/22/2015 16:38
Mayr Brothers Ponds,Mayr Brothers Fall Chinook,INTEGRATED,Chinook,Fall,Sub-yearling,Harvest,200000,2009,0.89,,0,Current,0.12,,0,Current,50115,,Tag recoveries not available,,Tag recoveries not available,26,,,100%,3,,,Tag recoveries not available,,Tag recoveries not available,,Tag recoveries not available,,Tag recoveries not available,,Tag recoveries not available,,Tag recoveries not available,,Tag recoveries not available,,"In progressJLARC data to be released 2015,",Grays Harbor,LOWER CHEHALIS,Washington Coastal,Grays Harbor County Lead Entity,7/22/2015 16:38
Washougal Hatchery,Washougal River Coho Type-N,INTEGRATED,Coho,Type-N,Yearling,Harvest,150000,2009,0,unavailable,0.5,>0.50,0.63,,0.3,<0.30,2740299,,unk,,unk,,unavailable,,2%,,unavailable,,unavailable,,unavailable,,unavailable,,unavailable,,unavailable,,unavailable,,unavailable,,"In progressJLARC data to be released 2015,",Skamania,SALMON-WASHOUGAL,Lower Columbia River,Lower Columbia Fish Recovery Board,7/22/2015 16:38
Washougal Hatchery,Washougal River Coho Type-N(Klickitat),SEGREGATED,Coho,Type-N,Yearling,Harvest,150000,2009,0,NA,0,NA,0,unavailable,0.3,<0.30,495496,1.92,,9491,,2135,,,None,3962,,64.2,,35.8,,,unavailable,2019,,1209,,25,,141,,,"In progressJLARC data to be released 2015,",Skamania,SALMON-WASHOUGAL,Lower Columbia River,Lower Columbia Fish Recovery Board,7/22/2015 16:38
Sol Duc Hatchery,Sol Duc Fall Coho,INTEGRATED,Coho,Fall,Yearling,Harvest,400000,2009,0.81,,0.5,>0.50,0.02,,0.3,<0.30,594781,4.26,,25365,,17613,,,0.14%,17289,,70.9,,29.1,,,unavailable,1448,,3171,,1893,,870,,,"In progressJLARC data to be released 2015,",Clallam,SOLEDUCK-HOH,Washington Coastal,North Pacific Coast Lead Entity,7/22/2015 16:38
Sol Duc Hatchery,Sol Duc Summer Coho,SEGREGATED,Coho,Summer,Yearling,Harvest,320000,2009,0,NA,0,NA,0.04,,0.05,<0.05,216375,2.06,,4458,,4321,,,None,4233,,80.2,,19.8,,,unavailable,280,,461,,6,,134,,,"In progressJLARC data to be released 2015,",Clallam,SOLEDUCK-HOH,Washington Coastal,North Pacific Coast Lead Entity,7/22/2015 16:38
Dungeness Hatchery,Dungeness Coho,SEGREGATED,Coho,,Yearling,Harvest,502000,2009,0,NA,0,NA,0.96,,0.1,<0.10,511100,0.16,,835,,4373,,,None,3940,,55.3,,44.7,,,unavailable,27,,0,,324,,22,,,"In progressJLARC data to be released 2015,",Clallam,ELWHA-DUNGENESS,Puget Sound,North Olympic Peninsula Lead Entity,7/22/2015 16:38
George Adams Hatchery,George Adams Coho,SEGREGATED,Coho,,Yearling,Harvest,300000,2009,0,NA,0,NA,0.02,,0.1,<0.10,336583,4.38,,14733,,4652,,,None,4365,,68.7,,31.3,,,unavailable,466,,2069,,1910,,173,,,"In progressJLARC data to be released 2015,",Mason,SKOKOMISH-DOSEWALLIPS,Puget Sound,Hood Canal Coordinating Council,5/20/2016 16:50
Marblemount Hatchery,Marblemount Coho,INTEGRATED,Coho,,Yearling,Harvest,350000,2009,0.96,,0.67,>0.67,0.01,,0.3,<0.30,346249,4.95,,17134,,8656,,,4%,8314,,47.5,,52.5,,,unavailable,583,,3466,,4749,,204,,,"In progressJLARC data to be released 2015,",Skagit,UPPER SKAGIT,Puget Sound,Skagit Watershed Council,7/22/2015 16:38
Soos Creek Hatchery,Soos Creek Coho,INTEGRATED,Coho,,Yearling,Harvest,555000,2009,0.68,,0,Current,0.16,,0,Current,516069,8.73,,45070,,22490,,,13%,20791,,58.8,,41.2,,,unavailable,1129,,4362,,12590,,493,,,"In progressJLARC data to be released 2015,",King,DUWAMISH-GREEN,Puget Sound,WRIA 9 - King County Lead Entity,7/22/2015 16:38
Wallace River Hatchery,Wallace River Coho,INTEGRATED,Coho,,Yearling,Harvest,150000,2009,0.94,,0.67,>0.67,0.01,,0.3,<0.30,154206,6.96,,10727,,7233,,,23.20%,4475,,73,,27,,,unavailable,350,,1801,,479,,266,,,"In progressJLARC data to be released 2015,",Snohomish,SNOHOMISH,Puget Sound,Snohomish County Lead Entity,7/22/2015 16:38
Naselle Hatchery,Naselle River Coho,SEGREGATED,Coho,,Yearling,Harvest,1200000,2009,0,NA,0,NA,0.32,,0,Current,582357,1.76,,10238,,823,,,0.67%,4761,,54.5,,45.5,,,unavailable,410,,1274,,2845,,132,,,"In progressJLARC data to be released 2015,",Pacific,WILLAPA,Washington Coastal,Pacific County Lead Entity,7/22/2015 16:38
Naselle Hatchery,Naselle River Coho (Late),SEGREGATED,Coho,Late,Yearling,Harvest,270000,2009,0,NA,0,NA,0.32,,0,Current,107725,,unk,,unk,170,,,unavailable,23,,,unavailable,,unavailable,,unavailable,,unavailable,282,,,unavailable,,unavailable,,"In progressJLARC data to be released 2015,",Pacific,WILLAPA,Washington Coastal,Pacific County Lead Entity,7/22/2015 16:38
Cowlitz Salmon Hatchery,Cowlitz River Hatchery Sea-Run Cutthroat,SEGREGATED,Cutthroat,Sea-Run,Yearling,Harvest,150000,2009,0,NA,0,NA,0,NA,0,NA,115120,,unk,,unk,582,,,None,8218,,,unavailable,,unavailable,,unavailable,,unavailable,,unavailable,,unavailable,,unavailable,,"In progressJLARC data to be released 2015,",Lewis,COWLITZ,Lower Columbia River,Lower Columbia Fish Recovery Board,5/20/2016 16:48
Bingham Creek Hatchery,Bingham Creek Yearling Steelhead,INTEGRATED,Steelhead,Winter,Yearling,Harvest,55000,2009,0.47,,0.5,>0.50,0.06,,0.3,<0.30,55510,3.12,,1738,,1092,,,2%,983,,62.8,,37.2,,,unavailable,,unavailable,646,,,unavailable,,unavailable,,"In progressJLARC data to be released 2015,",Mason,LOWER CHEHALIS,Washington Coastal,Grays Harbor County Lead Entity,7/22/2015 16:38
Humptulips Hatchery,Humptulips River  Hatchery Summer Steelhead,SEGREGATED,Steelhead,Summer,Yearling,Harvest,30000,2009,0,NA,0,NA,0,unavailable,0,Current,27326,1.98,,515,,39,,,None,22,,11.8,,88.2,,,unavailable,,unavailable,454,,,unavailable,,unavailable,,"In progressJLARC data to be released 2015,",Grays Harbor,LOWER CHEHALIS,Washington Coastal,Grays Harbor County Lead Entity,7/22/2015 16:38
Hoodsport Hatchery,Hoodsport Sub-yearling Fall Chin (Finch Creek),SEGREGATED,Chinook,Fall,Sub-yearling,Harvest,2920000,2009,0,NA,0,NA,0.05,,0.05,<0.05,2980317,0.26,,7853,,3144,,,None,2066,,33.3,,65.7,,1,,1536,,1071,,2267,,288,,,"In progressJLARC data to be released 2015,",Mason,SKOKOMISH-DOSEWALLIPS,Puget Sound,Hood Canal Coordinating Council,7/22/2015 16:38
Humptulips Hatchery,Humptulips River Hatchery Winter Steelhead,SEGREGATED,Steelhead,Winter,Yearling,Harvest,125000,2009,0,NA,0,NA,0,unavailable,0.1,<0.10,100350,1.48,,1488,,176,,,None,603,,52.3,,47.7,,,unavailable,,unavailable,709,,,unavailable,,unavailable,,"In progressJLARC data to be released 2015,",Grays Harbor,LOWER CHEHALIS,Washington Coastal,Grays Harbor County Lead Entity,7/22/2015 16:38
Lake Aberdeen Hatchery,Lake Aberdeen Hatchery Smr Sthd (Wynoochee R),SEGREGATED,Steelhead,Summer,Yearling,Harvest,60000,2009,0,NA,0,NA,0,unavailable,0.1,<0.10,87415,2.06,,1664,,197,,,None,258,,27.3,,72.7,,,unavailable,,unavailable,1664,,,unavailable,,unavailable,,"In progressJLARC data to be released 2015,",Grays Harbor,LOWER CHEHALIS,Washington Coastal,Grays Harbor County Lead Entity,7/22/2015 16:38
Lake Aberdeen Hatchery,Lake Aberdeen Steelhead,INTEGRATED,Steelhead,Winter,Yearling,Harvest,170000,2009,0.51,,0.5,>0.50,0.17,,0.3,<0.30,175390,1.67,,2927,,215,,,13%,64,,10.5,,90.5,,,unavailable,,unavailable,2648,,,unavailable,,unavailable,,"In progressJLARC data to be released 2015,",Grays Harbor,LOWER CHEHALIS,Washington Coastal,Grays Harbor County Lead Entity,7/22/2015 16:38
Skookumchuck Hatchery,Skookumchuck Winter Steelhead,INTEGRATED,Steelhead,Winter,Yearling,Harvest,75000,2009,0.24,,0.5,>0.50,0.89,,0.3,<0.30,86173,1.7,,1466,,95,,,22%,758,,58.2,,41.8,,,unavailable,,unavailable,613,,,unavailable,,unavailable,,"In progressJLARC data to be released 2015,",Thurston,UPPER CHEHALIS,Washington Coastal,Grays Harbor County Lead Entity,5/20/2016 16:52
Beaver Creek Hatchery,Beaver Creek Summer Steelhead,SEGREGATED,Steelhead,Summer,Yearling,Harvest,30000,2009,0,NA,0,NA,0.06,,0.1,<0.10,30131,0.56,,170,,,Fish Spawned at Skamania,,None,111,,65.4,,34.6,,,unavailable,,unavailable,59,,,unavailable,,unavailable,,"In progressJLARC data to be released 2015,",Wahkiakum,GRAYS-ELOKOMAN,Lower Columbia River,Lower Columbia Fish Recovery Board,7/22/2015 16:38
Cowlitz Trout Hatchery,Cowlitz Trout Summer Steelhead,SEGREGATED,Steelhead,Summer,Yearling,Harvest,450000,2009,0,NA,0,NA,0.09,,0.1,<0.10,410303,5.54,,22725,,250,,,None,7252,,33,,67,,,unavailable,,unavailable,15223,,,unavailable,,unavailable,,"In progressJLARC data to be released 2015,",Lewis,COWLITZ,Lower Columbia River,Lower Columbia Fish Recovery Board,5/20/2016 16:48
Fallert Creek Hatchery,Fallert Creek Summer Steelhead,SEGREGATED,Steelhead,Summer,Yearling,Harvest,30000,2009,0,Unk,0,<.02,0,,0.05,<0.05,29014,8.32,,2414,,,Fish Spawned at Skamania,,None,1459,,60.4,,39.6,,,unavailable,,unavailable,955,,,unavailable,,unavailable,,"In progressJLARC data to be released 2015,",Cowlitz,LEWIS,Lower Columbia River,Lower Columbia Fish Recovery Board,7/22/2015 16:38
Grays River Hatchery,Grays River Early Winter Steelhead,SEGREGATED,Steelhead,Early Winter,Yearling,Harvest,40000,2009,0,NA,0,NA,0.01,,0.05,<0.05,42268,1.69,,715,,,Fish Spawned at Elochoman,,None,305,,42.7,,57.3,,,unavailable,,unavailable,410,,,unavailable,,unavailable,,"In progressJLARC data to be released 2015,",Pacific,GRAYS-ELOKOMAN,Lower Columbia River,Lower Columbia Fish Recovery Board,7/22/2015 16:38
Kalama Falls Hatchery,Kalama Falls Summer Steelhead (wild),INTEGRATED,Steelhead,Wild Summer,Yearling,Harvest,60000,2009,0.95,,0.67,>0.67,0.04,,0.3,<0.30,29014,5.35,,1844,,6,,,79%,668,,37.4,,62.6,,,unavailable,,unavailable,1170,,,unavailable,,unavailable,,"In progressJLARC data to be released 2015,",Cowlitz,LEWIS,Lower Columbia River,Lower Columbia Fish Recovery Board,5/20/2016 16:50
Kalama Falls Hatchery,Kalama Falls Winter Steelhead (early),SEGREGATED,Steelhead,Early Winter,Yearling,Harvest,45000,2009,0,NA,0,NA,0,,0.05,<0.05,47873,3.2,,1532,,90,,,None,1089,,77,,23,,,unavailable,,unavailable,353,,,unavailable,,unavailable,,"In progressJLARC data to be released 2015,",Cowlitz,LEWIS,Lower Columbia River,Lower Columbia Fish Recovery Board,5/20/2016 16:50
Kalama Falls Hatchery,Kalama Falls Wild Winter Steelhead (Late),INTEGRATED,Steelhead,Late Wild Winter,Yearling,Harvest,45000,2009,0.93,,0.67,>0.67,0.08,,0.3,<0.30,30299,1.73,,525,,,Wild Brood,,100%,286,,54.5,,45.5,,,unavailable,,unavailable,239,,,unavailable,,unavailable,,"In progressJLARC data to be released 2015,",Cowlitz,LEWIS,Lower Columbia River,Lower Columbia Fish Recovery Board,5/20/2016 16:50
Merwin Hatchery,Merwin Hatchery Summer Steelhead,SEGREGATED,Steelhead,Summer,Yearling,Harvest,175000,2009,0,NA,0,NA,0.12,,0,Current,176317,8.94,,15755,,269,,,None,10508,,68.4,,31.6,,,unavailable,,unavailable,4978,,,unavailable,,unavailable,,"In progressJLARC data to be released 2015,",Cowlitz,LEWIS,Lower Columbia River,Lower Columbia Fish Recovery Board,7/22/2015 16:38
Merwin Hatchery,Merwin Hatchery Winter Steelhead,SEGREGATED,Steelhead,Winter,Yearling,Harvest,100000,2009,0,NA,0,NA,0.2,,0.1,<0.10,101497,3.29,,3341,,175,,,None,2126,,68.9,,31.1,,,unavailable,,unavailable,1040,,,unavailable,,unavailable,,"In progressJLARC data to be released 2015,",Cowlitz,LEWIS,Lower Columbia River,Lower Columbia Fish Recovery Board,7/22/2015 16:38
