Facility_Name,Hatchery_Program_Name,Hatchery_Program_Type,Species,Run,Life_Stage,Goal,Production_Goal,PNI Year,Integrated_PNI _Rate,Integrated PNI Rate Description,Integrated PNI Goal,Integrated PNI Goal Description,Segrated PHOS Rate ,Segrated PHOS Rate Description,Segrated PHOS Goal ,Segrated PHOS Goal Description,Juvenile Produced,Juvenile To Smolt Survival Percent,Juvenile To Smolt Survival Description,Actual_Adult_Hatchery_Produced,Actual Adult Hatchery Produced Description,AdultReturnsTotal,Adult Returns To Hatchery Broodstock Description,Adult Returns To Hatchery Wild Broodstock Percent,Adult Returns To Hatchery Wild Broodstock Description,Adult Returns To Hatchery Excess,Adult Returns To Hatchery Excess Description,ReturningHatcheryPercent,Adult Where Returning Fish Go Hatchery Description, ReturningHarvestedPercent,Adult Where Returning Fish Go Harvested Description,Adult Where Returning Fish Go Spawning Grounds Percent,Adult Where Returning Fish Go Spawning Grounds Description,Non WA Caught Adult,Non WA Caught Adult Description,Sport_Caught_Adult,Sport Caught Adult Description,Net_Caught_Adult,Net Caught Adult Description,Troll_Caught_Adult,Troll Caught Adult Description,Cost Per Adult,Cost Per Adult Description,County,WRIA,Salmon Recovery Region,Lead Entity,Last Updated
Merwin Hatchery,Merwin Wild Winter Steelhead,INTEGRATED,Steelhead,Late Wild Winter,Yearling,Conservation,50000,2009,0.83,,0.67,>0.67,0.2,,0.3,<0.30,50000,,unk,,unk,,Wild Brood,,100%,,NA,,unavailable,,unavailable,,unavailable,,unavailable,,unavailable,,unavailable,,unavailable,,"In progressJLARC data to be released 2015,",Cowlitz,LEWIS,Lower Columbia River,Lower Columbia Fish Recovery Board,7/22/2015 16:38
Skamania Hatchery,Skamania Hatchery Winter Sthd (early),SEGREGATED,Steelhead,Early Winter,Yearling,Harvest,140000,2009,0,NA,0,NA,0.01,,0.1,<0.10,62384,1.3,,808,,97,,,None,369,,57.7,,42.3,,,unavailable,,unavailable,342,,,unavailable,,unavailable,,"In progressJLARC data to be released 2015,",Skamania,SALMON-WASHOUGAL,Lower Columbia River,Lower Columbia Fish Recovery Board,7/22/2015 16:38
Deep River Net Pens,Deep R Net Pens Spring Chinook,SEGREGATED,Chinook,Spring,Yearling,Harvest,400000,2009,0,NA,0,NA,0,No tag recoveries available,0.1,<0.10,167866,0.25,,421,,,Broodstock from Cowlitz and Lewis R. programs,,None,,unavailable,,unavailable,,unavailable,,unavailable,293,,54,,0,,54,,,"In progressJLARC data to be released 2015,",Wahkiakum,GRAYS-ELOKOMAN,Lower Columbia River,Lower Columbia Fish Recovery Board,7/22/2015 16:38
Naselle Hatchery,Naselle River Fall Chinook,INTEGRATED,Chinook,Fall,Sub-yearling,Harvest,500000,2009,0.19,,0.67,>0.67,0.86,,0.3,<0.30,3091000,0.33,,10158,,3007,,,8.90%,2199,,15.8,,71.8,,12.4,,4423,,311,,2536,,25,,,"In progressJLARC data to be released 2015,",Pacific,WILLAPA,Washington Coastal,Pacific County Lead Entity,7/22/2015 16:38
Nemah Hatchery,Nemah River Fall Chinook,SEGREGATED,Chinook,Fall,Sub-yearling,Harvest,3300000,2009,0,NA,0,NA,0.86,,0,Current,1670319,0.33,,5482,,2698,,,None,1351,,37.4,,51.4,,11.2,,1711,,161,,933,,13,,,"In progressJLARC data to be released 2015,",Pacific,WILLAPA,Washington Coastal,Pacific County Lead Entity,7/22/2015 16:38
Grays River Hatchery,Grays River Chum,INTEGRATED,Chum,Fall,Fry,Conservation,250000,2009,0.94,,0.67,>0.67,0.06,,0.3,<0.30,316804,,unk,,unk,10,,,91%,0,,,unavailable,,unavailable,,unavailable,,unavailable,,unavailable,,unavailable,,unavailable,,"In progressJLARC data to be released 2015,",Pacific,GRAYS-ELOKOMAN,Lower Columbia River,Lower Columbia Fish Recovery Board,7/22/2015 16:38
Washougal Hatchery,Washougal Hatchery Chum,INTEGRATED,Chum,Fall,Fry,Conservation,400000,2009,0.87,,0.67,>0.67,0.05,,0.3,<0.30,58847,,unk,,unk,10,,,33%,0,,,unavailable,,unavailable,,unavailable,,unavailable,,unavailable,,unavailable,,unavailable,,"In progressJLARC data to be released 2015,",Skamania,SALMON-WASHOUGAL,Lower Columbia River,Lower Columbia Fish Recovery Board,7/22/2015 16:38
Nemah Hatchery,Nemah River Chum,INTEGRATED,Chum,Fall,Fry,Conservation,300000,2009,0.97,,0.5,>0.50,0.03,,0.3,<0.30,487700,,unk,,unk,298,,,100%,0,,,unavailable,,unavailable,,unavailable,,unavailable,,unavailable,,unavailable,,unavailable,,"In progressJLARC data to be released 2015,",Pacific,WILLAPA,Washington Coastal,Pacific County Lead Entity,7/22/2015 16:38
Bingham Creek Hatchery,Bingham Creek Coho,INTEGRATED,Coho,,Yearling,Harvest,150000,2009,0.62,,0.5,>0.50,0.24,,0.3,<0.30,422688,2.91,,12312,,16762,,,21.85%,15919,,83.4,,16.6,,,unavailable,225,,1087,,657,,71,,,"In progressJLARC data to be released 2015,",Mason,LOWER CHEHALIS,Washington Coastal,Grays Harbor County Lead Entity,7/22/2015 16:38
Bogachiel Hatchery,Bogachiel River Hatchery Summer Steelhead,SEGREGATED,Steelhead,Summer,Yearling,Harvest,30000,2009,0,NA,0,NA,0.23,,0.1,<0.10,57316,4.89,,2605,,92,,,None,1388,,56.8,,43.2,,,unavailable,,unavailable,1125,,,unavailable,,unavailable,,"In progressJLARC data to be released 2015,",Clallam,SOLEDUCK-HOH,Washington Coastal,North Pacific Coast Lead Entity,7/22/2015 16:38
Bogachiel Hatchery,Bogachiel River Hatchery Winter Steelhead,SEGREGATED,Steelhead,Winter,Yearling,Harvest,150000,2009,0,NA,0,NA,0.09,,0.05,<0.05,164734,3.28,,5189,,363,,,None,1845,,42.6,,57.4,,,unavailable,,unavailable,2981,,,unavailable,,unavailable,,"In progressJLARC data to be released 2015,",Clallam,SOLEDUCK-HOH,Washington Coastal,North Pacific Coast Lead Entity,7/22/2015 16:38
Whitehorse Hatchery,Whitehorse Hatchery Summer Steelhead,SEGREGATED,Steelhead,Summer,Yearling,Harvest,70000,2009,0,NA,0,NA,0.04,,0.05,<0.05,80647,0.15,,121,,,Broodstock comes from Reiter,,None,45,,36.9,,63.1,,,unavailable,,unavailable,76,,,unavailable,,unavailable,,"In progressJLARC data to be released 2015,",Snohomish,STILLAGUAMISH,Puget Sound,Stillaguamish River Salmon Recovery Co-Lead Entity,7/22/2015 16:38
Whitehorse Hatchery,Whitehorse Hatchery Winter Steelehead,SEGREGATED,Steelhead,Winter,Yearling,Harvest,140000,2009,0,NA,0,NA,0,,0.05,<0.05,151397,0.58,,876,,118,,,None,109,,24.5,,70.1,,,unavailable,,unavailable,649,,,unavailable,,unavailable,,"In progressJLARC data to be released 2015,",Snohomish,STILLAGUAMISH,Puget Sound,Stillaguamish River Salmon Recovery Co-Lead Entity,7/22/2015 16:38
Deep River Net Pens,Deep R Net Pens Fall Chinook,SEGREGATED,Chinook,Fall,Sub-yearling,Harvest,1000000,2009,0,NA,0,NA,0,No tag recoveries available,0.1,<0.10,754000,,unk,,unk,,Broodstock from Washougal program,,None,,unavailable,,unavailable,,unavailable,,unavailable,,unavailable,,unavailable,,unavailable,,unavailable,,"In progressJLARC data to be released 2015,",Wahkiakum,GRAYS-ELOKOMAN,Lower Columbia River,Lower Columbia Fish Recovery Board,7/22/2015 16:38
Kalama Falls Hatchery,Kalama Falls Fall Chinook,INTEGRATED,Chinook,Fall,Sub-yearling,Harvest,7000000,2009,0.27,,0.5,>0.50,0.86,,0.3,<0.30,2561719,0.36,,9271,,1421,,,32%,3335,,51.3,,31.3,,17.4,,2476,,332,,8,,84,,,"In progressJLARC data to be released 2015,",Cowlitz,LEWIS,Lower Columbia River,Lower Columbia Fish Recovery Board,5/20/2016 16:50
Lewis River Hatchery,Lewis River Spring Chinook,SEGREGATED,Chinook,Spring,Yearling,Harvest,1200000,2009,0,NA,0,NA,0.34,,0.05,<0.05,862039,0.74,,6355,,714,,,None,3321,,63.5,,35.9,,0.6,,650,,1595,,0,,35,,,"In progressJLARC data to be released 2015,",Cowlitz,LEWIS,Lower Columbia River,Lower Columbia Fish Recovery Board,7/22/2015 16:38
North Toutle Hatchery,NF Toutle Fall Chinook,INTEGRATED,Chinook,Fall,Sub-yearling,Harvest,1400000,2009,0,unavailable,0.67,>0.67,0,unavailable,0.3,<0.30,1763847,0.34,,5947,,983,,,unavailable,2150,,52.7,,28.7,,18.7,,1320,,187,,0,,198,,,"In progressJLARC data to be released 2015,",Cowlitz,COWLITZ,Lower Columbia River,Lower Columbia Fish Recovery Board,5/20/2016 16:51
Cowlitz Salmon Hatchery,Cowlitz Fall Chinook,INTEGRATED,Chinook,Fall,Sub-yearling,Harvest,5000000,2009,0.57,,0.5,>0.50,0.38,,0.3,<0.30,5224439,0.12,,6470,,1163,,,51%,2338,,54.1,,40.8,,5.1,,1581,,770,,0,,287,,,"In progressJLARC data to be released 2015,",Lewis,COWLITZ,Lower Columbia River,Lower Columbia Fish Recovery Board,5/20/2016 16:48
Hoodsport Hatchery,Hoodsport Yearling Fall Chin (Finch Creek),SEGREGATED,Chinook,Fall,Yearling,Harvest,120000,2009,0,NA,0,NA,0.05,,0.05,<0.05,132191,0.98,,1295,,,See Sub-yearlings,,None,,See Sub-yearlings,24.4,,74.2,,1.3,,82,,423,,427,,29,,,"In progressJLARC data to be released 2015,",Mason,SKOKOMISH-DOSEWALLIPS,Puget Sound,Hood Canal Coordinating Council,7/22/2015 16:38
Soos Creek Hatchery,Soos Creek  Fall Sub-yearling Chinook,INTEGRATED,Chinook,Fall,Sub-yearling,Harvest,3200000,2009,0.2,,0,Current,0.49,,0,Current,3352341,0.55,,18376,,2135,,,11.55%,6951,,48.1,,49.8,,2.1,,3351,,2274,,2962,,567,,,"In progressJLARC data to be released 2015,",King,DUWAMISH-GREEN,Puget Sound,WRIA 9 - King County Lead Entity,7/22/2015 16:38
Soos Creek Hatchery,Icy Creek  Fall Yearling Chinook,INTEGRATED,Chinook,Fall,Yearling,Harvest,300000,2009,0,See Sub-yearlings,0,Current,0,See Sub-yearlings,0,Current,291552,0.63,,1844,,,See Sub-yearlings,,11.75%,681,,46.1,,39.7,,14.2,,98,,340,,264,,31,,,"In progressJLARC data to be released 2015,",King,DUWAMISH-GREEN,Puget Sound,WRIA 9 - King County Lead Entity,7/22/2015 16:38
Forks Creek Hatchery,Forks Creek Fall Chinook,INTEGRATED,Chinook,Fall,Sub-yearling,Harvest,3200000,2009,0.07,,0,Current,0.69,,0,Current,2209396,0.39,,8519,,4146,,,4.92%,2215,,37,,58.7,,4.3,,2302,,728,,1908,,64,,,"In progressJLARC data to be released 2015,",Pacific,WILLAPA,Washington Coastal,Pacific County Lead Entity,7/22/2015 16:38
Cowlitz Salmon Hatchery,Cowlitz Spring Chinook,SEGREGATED,Chinook,Spring,Yearling,Harvest,967000,2009,0,NA,0,NA,0.36,,0.05,<0.05,861309,1.19,,10208,,897,,,None,5325,,61,,34.5,,4.6,,1891,,1318,,1,,312,,,"In progressJLARC data to be released 2015,",Lewis,COWLITZ,Lower Columbia River,Lower Columbia Fish Recovery Board,5/20/2016 16:48
Washougal Hatchery,Washougal River Fall Chinook,INTEGRATED,Chinook,Fall,Sub-yearling,Harvest,3000000,2009,0.56,,0.67,>0.67,0.48,,0.3,<0.30,3948841,0.28,,11002,,766,,,62%,4649,,49.2,,42.8,,8,,4030,,541,,0,,141,,,"In progressJLARC data to be released 2015,",Skamania,SALMON-WASHOUGAL,Lower Columbia River,Lower Columbia Fish Recovery Board,7/22/2015 16:38
Sol Duc Hatchery,Sol Duc Summer Sub-yearling Chinook,INTEGRATED,Chinook,Summer,Sub-yearling,Harvest,320000,2009,0.61,,0.67,>0.67,0.1,,0.3,<0.30,37687,2.6,,981,,684,,,6.10%,440,,78.3,,18.9,,2.8,,12,,166,,4,,3,,,"In progressJLARC data to be released 2015,",Clallam,SOLEDUCK-HOH,Washington Coastal,North Pacific Coast Lead Entity,7/22/2015 16:38
Dungeness Hatchery,Dungeness  Spring Chinook (Graywolf AccPonds),INTEGRATED,Chinook,Spring,Sub-yearling,Conservation,50000,2009,0.41,,0.67,>0.67,0.63,,0.3,<0.30,782407,0.21,,1648,,126,,,41.20%,74,,5.7,,14.1,,80.2,,202,,13,,0,,18,,,"In progressJLARC data to be released 2015,",Clallam,ELWHA-DUNGENESS,Puget Sound,North Olympic Peninsula Lead Entity,7/22/2015 16:38
Dungeness Hatchery,Dungeness  Spring Chinook,INTEGRATED,Chinook,Spring,Yearling,Conservation,50000,2009,0,See Sub-yearlings,0.67,>0.67,0,See Sub-yearlings,0.3,<0.30,108052,0.47,,504,,,See Sub-yearlings,,See Sub-yearlings,,See Sub-yearlings,23.5,,15.6,,60.9,,45,,24,,3,,7,,,"In progressJLARC data to be released 2015,",Clallam,ELWHA-DUNGENESS,Puget Sound,North Olympic Peninsula Lead Entity,7/22/2015 16:38
Elwha Hatchery,Elwha Sub-yearling Fall Chinook,INTEGRATED,Chinook,Fall,Sub-yearling,Conservation,2700000,2009,0.04,,0.67,>0.67,0.96,,0.3,<0.30,3027333,0.03,,1011,,1000,,,4%,0,,76.2,,6.6,,17.2,,62,,0,,5,,0,,,"In progressJLARC data to be released 2015,",Clallam,ELWHA-DUNGENESS,Puget Sound,North Olympic Peninsula Lead Entity,7/22/2015 16:38
Garrison Hatchery,Garrison Springs/Chambers Creek Fall Chinook,SEGREGATED,Chinook,Fall,Sub-yearling,Harvest,1050000,2009,0,NA,0,NA,0,N/A,0,Current,943962,0.96,,9070,,211,,,None,121,,4.8,,95.2,,,unavailable,1341,,2198,,4724,,368,,,"In progressJLARC data to be released 2015,",Pierce,CHAMBERS-CLOVER,Puget Sound,Pierce County Lead Entity,7/22/2015 16:38
George Adams Hatchery,George Adams Sub-yearling Fall  Chinook,INTEGRATED,Chinook,Fall,Sub-yearling,Harvest,3800000,2009,0.01,,0.67,>0.67,0.84,,0.3,<0.30,3810150,0.62,,23659,,18731,,,4.80%,16422,,54.1,,44.9,,1,,4703,,2925,,2056,,937,,,"In progressJLARC data to be released 2015,",Mason,SKOKOMISH-DOSEWALLIPS,Puget Sound,Hood Canal Coordinating Council,5/20/2016 16:50
Minter Creek Hatchery,Hupp Springs (Minter) Sub-yearling Spring Chinook,SEGREGATED,Chinook,Spring,Sub-yearling,Harvest,260000,2009,0,NA,0,NA,0,,0.05,<0.05,249106,0.67,,1658,,524,,,None,205,,80.8,,19,,0.2,,92,,106,,26,,41,,,"In progressJLARC data to be released 2015,",Pierce,KITSAP,Puget Sound,West Sound Watersheds Lead Entity,7/22/2015 16:38
Issaquah Hatchery,Issaquah Creek Fall Chinook,INTEGRATED,Chinook,Fall,Sub-yearling,Harvest,2000000,2009,0.18,,0,Current,0.59,,0,Current,2206294,0.85,,18849,,3168,,,5.60%,2241,,44.2,,50.3,,5.5,,3333,,1740,,3618,,786,,,"In progressJLARC data to be released 2015,",King,CEDAR-SAMMAMISH,Puget Sound,WRIA 8 - King County Lead Entity,7/22/2015 16:38
Kendall Creek Hatchery,Kendall SF Nooksack Chinook,INTEGRATED,Chinook,Spring,Sub-yearling,Conservation,1000000,2009,1,,0.67,>0.67,0,,0.3,<0.30,,,0.13-1.10 (on-st.); 0.01-0.70 (off-st.),,unk,,First Returns 2014,,100%,,None,,None,,None,,None,,None,,None,,None,,None,,"In progressJLARC data to be released 2015,",Whatcom,NOOKSACK,Puget Sound,WRIA 1 - Salmon Recovery Board Lead Entity,7/22/2015 16:38
Marblemount Hatchery,Marblemount Sub-yearling  Spring Chinook (Clark Cr),SEGREGATED,Chinook,Spring,Sub-yearling,Harvest,400000,2009,0,NA,0,NA,0.02,,0.05,<0.05,259843,1.13,,2929,,1369,,,None,1061,,71.9,,22.8,,5.2,,368,,238,,51,,12,,,"In progressJLARC data to be released 2015,",Skagit,UPPER SKAGIT,Puget Sound,Skagit Watershed Council,7/22/2015 16:38
Marblemount Hatchery,Marblemount Summer Sub-yearling Chinook,INTEGRATED,Chinook,Summer,Sub-yearling,Conservation,200000,2009,0.92,,0.67,>0.67,0.08,,0.3,<0.30,203721,0.52,,1066,,6,,,92%,5,,2,,30.6,,67.4,,220,,42,,58,,6,,,"In progressJLARC data to be released 2015,",Skagit,UPPER SKAGIT,Puget Sound,Skagit Watershed Council,7/22/2015 16:38
Minter Creek Hatchery,Minter Creek Sub-yearling Fall Chinook,SEGREGATED,Chinook,Fall,Sub-yearling,Harvest,1400000,2009,0,NA,0,NA,1,,0,Current,1820341,1.23,,22468,,6460,,,None,5370,,70.6,,29.2,,0.2,,2208,,1539,,2151,,665,,,"In progressJLARC data to be released 2015,",Pierce,KITSAP,Puget Sound,West Sound Watersheds Lead Entity,7/22/2015 16:38
Minter Creek Hatchery,Minter Creek Yearling Fall Chinook,SEGREGATED,Chinook,Fall,Yearling,Harvest,120000,2009,0,NA,0,NA,1,,0,Current,136773,0.01,,9,,,See Sub-yearlings,,None,,See Sub-yearlings,0,,100,,0,,5,,0,,0,,4,,,"In progressJLARC data to be released 2015,",Pierce,KITSAP,Puget Sound,West Sound Watersheds Lead Entity,7/22/2015 16:38
Samish Hatchery,Samish Hatchery Fall Chinook,SEGREGATED,Chinook,Fall,Sub-yearling,Harvest,4000000,2009,0,NA,0,NA,0.26,,0.05,<0.05,3501379,0.98,,34427,,3376,,,None,6560,,25.5,,74,,0.5,,4641,,10038,,9518,,1272,,,"In progressJLARC data to be released 2015,",Skagit,LOWER SKAGIT-SAMISH,Puget Sound,Skagit Watershed Council,7/22/2015 16:38
Kalama Falls Hatchery,Kalama Falls Spring Chinook (Gobar release),SEGREGATED,Chinook,Spring,Yearling,Harvest,500000,2009,0,NA,0,NA,0,,0.1,<0.10,213985,2.15,,4597,,281,,,None,3109,,73.7,,23.1,,3.2,,489,,545,,0,,27,,,"In progressJLARC data to be released 2015,",Cowlitz,LEWIS,Lower Columbia River,Lower Columbia Fish Recovery Board,5/20/2016 16:50
Tumwater Falls Hatchery,Tumwater Falls Sub-yearling Fall Chinook,SEGREGATED,Chinook,Fall,Sub-yearling,Harvest,3800000,2009,0,NA,0,NA,0.98,,0,Current,3853722,0.48,,18493,,7535,,,None,4924,,72.2,,27.8,,0,,1636,,2254,,643,,610,,,"In progressJLARC data to be released 2015,",Thurston,DESCHUTES,Puget Sound,WRIA 13 Thurston Conservation District Lead Entity,5/20/2016 16:53
Voights Creek Hatchery,Voights Creek Fall Chinook,INTEGRATED,Chinook,Fall,Sub-yearling,Harvest,1600000,2009,0.03,,0,Current,0.63,,0,Current,1391287,0.66,,9213,,2352,,,0.95%,1589,,46.2,,84.3,,3.5,,1645,,2798,,978,,372,,,"In progressJLARC data to be released 2015,",Pierce,PUYALLUP-WHITE,Puget Sound,Pierce County Lead Entity,7/22/2015 16:38
Wallace River Hatchery,Wallace River Summer Sub-yearling Chinook,INTEGRATED,Chinook,Summer,Sub-yearling,Harvest,1000000,2009,0.5,,0.67,>0.67,0.24,,0.3,<0.30,998682,0.38,,3836,,1009,,,16.59%,1725,,66.9,,31.1,,2,,724,,374,,29,,67,,,"In progressJLARC data to be released 2015,",Snohomish,SNOHOMISH,Puget Sound,Snohomish County Lead Entity,7/22/2015 16:38
Wallace River Hatchery,Wallace River Summer Yearling Chinook,INTEGRATED,Chinook,Summer,Yearling,Harvest,500000,2009,0,See Sub-yearlings,0.67,>0.67,0,See Sub-yearlings,0.3,<0.30,232085,1.2,,2796,,,See Sub-yearlings,,See Sub-yearlings,,See Sub-yearlings,63.7,,34.1,,2.2,,436,,462,,25,,31,,,"In progressJLARC data to be released 2015,",Snohomish,SNOHOMISH,Puget Sound,Snohomish County Lead Entity,7/22/2015 16:38
Glenwood Springs,Glenwood Springs Fall Chinook,SEGREGATED,Chinook,Fall,Sub-yearling,Harvest,550000,2009,0,NA,0,NA,0,NA,0,NA,322921,0.53,,1707,,198,,,None,600,,46.7,,53.1,,0.2,,338,,109,,370,,90,,,"In progressJLARC data to be released 2015,",San Juan,SAN JUAN,,,7/22/2015 16:38
Kendall Creek Hatchery,Kendall NF Nooksack Sub-yearling Chinook,INTEGRATED,Chinook,Spring,Sub-yearling,Conservation,750000,2009,0.01,,0.67,>0.67,0.83,,0.3,<0.30,1146520,0.35,,3957,,1346,,,2%,926,,37.1,,46.3,,16.6,,1645,,99,,49,,39,,,"In progressJLARC data to be released 2015,",Whatcom,NOOKSACK,Puget Sound,WRIA 1 - Salmon Recovery Board Lead Entity,7/22/2015 16:38
Bingham Creek Hatchery,Bingham Creek Late Coho,INTEGRATED,Coho,Late,Yearling,Harvest,150000,2009,0.79,,0.5,>0.50,0.06,,0.3,<0.30,255467,0.89,,2270,,3754,,,12.59%,3540,,87.3,,12.7,,,unavailable,108,,138,,43,,0,,,"In progressJLARC data to be released 2015,",Mason,LOWER CHEHALIS,Washington Coastal,Grays Harbor County Lead Entity,7/22/2015 16:38
Satsop Springs Ponds,Satsop Springs Ponds Coho,INTEGRATED,Coho,,Yearling,Harvest,450000,2009,0.62,,0.5,>0.50,0.24,,0.3,<0.30,452270,0.81,,3652,,,See Bingham Creek,,See Bingham Creek,,See Bingham Creek,69.1,,30.9,,,unavailable,155,,457,,463,,54,,,"In progressJLARC data to be released 2015,",Mason,LOWER CHEHALIS,,,7/22/2015 16:38
Humptulips Hatchery,Humptulips River Coho,INTEGRATED,Coho,,Yearling,Harvest,400000,2009,0.25,,0.5,>0.50,0.37,,0.3,<0.30,875000,5.99,,52416,,12313,,,1.01%,11824,,35.8,,64.2,,,unavailable,1430,,11517,,8938,,11741,,,"In progressJLARC data to be released 2015,",Grays Harbor,LOWER CHEHALIS,Washington Coastal,Grays Harbor County Lead Entity,7/22/2015 16:38
Issaquah Hatchery,Issaquah Coho,INTEGRATED,Coho,,Yearling,Harvest,450000,2009,0.24,,0,Current,0.77,,0,Current,479350,6.16,,29514,,3168,,,6%,2241,,51.1,,48.9,,,unavailable,847,,3163,,10040,,383,,,"In progressJLARC data to be released 2015,",King,CEDAR-SAMMAMISH,Puget Sound,WRIA 8 - King County Lead Entity,7/22/2015 16:38
Minter Creek Hatchery,Minter Creek Coho,INTEGRATED,Coho,,Yearling,Harvest,500000,2009,0.5,,0.5,>0.50,0.15,,0.3,<0.30,1049119,2.73,,28633,,8232,,,12.21%,7072,,68.5,,31.5,,,unavailable,706,,3592,,4299,,416,,,"In progressJLARC data to be released 2015,",Pierce,KITSAP,Puget Sound,West Sound Watersheds Lead Entity,7/22/2015 16:38
Voights Creek Hatchery,Voights Creek Coho,INTEGRATED,Coho,,Yearling,Harvest,735000,2009,0.07,,0.5,>0.50,0.19,,0.3,<0.30,852533,2.9,,24737,,5582,,,0.96%,4365,,36.5,,63.5,,,unavailable,717,,6889,,7733,,378,,,"In progressJLARC data to be released 2015,",Pierce,PUYALLUP-WHITE,Puget Sound,Pierce County Lead Entity,7/22/2015 16:38
Forks Creek Hatchery,Forks Creek Coho,INTEGRATED,Coho,,Yearling,Harvest,200000,2009,0.33,,0.67,>0.67,0.6,,0.3,<0.30,462040,3.23,,14902,,1198,,,4.07%,6570,,51.8,,48.2,,,unavailable,1163,,1941,,3896,,182,,,"In progressJLARC data to be released 2015,",Pacific,WILLAPA,Washington Coastal,Pacific County Lead Entity,7/22/2015 16:38
